Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
01456;Ivry-sur-Seine;Ivry-sur-Seine;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Ivry-sur-Seine;94200;Ivry-sur-Seine;94-041;Val-de-Marne;Île-de-France;2.390990;48.814371;0087545301;IVN;b;;;;;48.814371, 2.39099
01458;Choisy-le-Roi;Choisy-le-Roi;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Choisy-le-Roi;94600;Choisy-le-Roi;94-022;Val-de-Marne;Île-de-France;2.411102;48.763974;0087545285;CLR;b;;;;;48.763974, 2.411102
01460;Ablon;Ablon;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Ablon;94480;Ablon-sur-Seine;94-001;Val-de-Marne;Île-de-France;2.419151;48.725468;0087545269;ABL;b;;;;;48.725468, 2.419151
01471;Chamarande;Chamarande;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Chamarande;91730;Chamarande;91-132;Essonne;Île-de-France;2.215854;48.514244;0087545152;CHK;b;;;;;48.514244, 2.215854
01479;Boulainvilliers;Boulainvilliers;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Boulainvilliers;75016;Paris;75-056;Paris;Île-de-France;2.275149;48.856450;0087543181;BWR;b;;;;;48.85645, 2.275149
01494;Dourdan la Forêt;Dourdan la Forêt;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Dourdan la Forêt;91410;Dourdan;91-200;Essonne;Île-de-France;1.994908;48.535314;0087540179;DAQ;b;;;;;48.535314, 1.994908
01828;Rougemont Chanteloup;Rougemont Chanteloup;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Rougemont Chanteloup;93270;Sevran;93-071;Seine-Saint-Denis;Île-de-France;2.515020;48.930895;0087431791;ROU;b;;;;;48.930895, 2.51502
02077;Éragny - Neuville;Éragny - Neuville;Oui;Non;AG Ile-de-France;REGION DE PARIS SAINT-LAZARE;;;1;1;Éragny - Neuville;95610;Éragny;95-218;Val-d'Oise;Île-de-France;2.09104;49.01824;0087381418;ERA;b;;;;;49.01824, 2.09104
02087;Us;Us;Oui;Non;AG Ile-de-France;REGION DE PARIS SAINT-LAZARE;;;1;1;Us;95450;Us;95-625;Val-d'Oise;Île-de-France;1.97076;49.09969;0087381178;USQ;b;;;;;49.09969, 1.97076
02091;Asnières-sur-Seine;Asnières-sur-Seine;Oui;Non;AG Ile-de-France;REGION DE PARIS SAINT-LAZARE;;;1;1;Asnières-sur-Seine;92600;Asnières-sur-Seine;92-004;Hauts-de-Seine;Île-de-France;2.28324;48.90580;0087381137;AEE;b;;;;;48.9058, 2.28324
